source,target
PAX6,VSX2
PAX6,VSX2
LHX3,LHX9
LHX9,ISL1
PAX6,VSX2
MAFA,NEUROD1
MSX1,LHX9
LHX3,RHOXF1
LHX9,MSX2
PAX6,RAX
PAX6,LHX2
LHX3,RAX
LHX3,ALX4
LHX2,LHX3
MSX1,LHX2
LHX2,ISL1
LHX3,ISL1
LHX3,LMX1B
LHX3,DMBX1
DMBX1,OTX2
MSX1,MSX2
LHX2,MSX2
ALX4,ALX1
LHX3,ALX1
PAX3,MSX1
