13px	18px	2005.99px	993.996px	2052	1210
0	1487094867333	translate(1003,497)scale(1,1)translate(0,0)scale(1)
1	1487094873695	translate(1003,497)scale(0.7,0.7)translate(0,0)scale(1)
2	1487094885899	translate(1003,497)scale(0.6,0.6)translate(0,0)scale(1)
3	1487094892902	translate(1003,497)scale(1, 1)scale(1,1)translate(-501.5, 0)translate(0,0)scale(1)	translate(1003,497)scale(-1, 1)scale(1,1)translate(-501.5, 0)translate(0,0)scale(1)
4	1487095042049	translate(1003,497)scale(1, 1)scale(0.7,0.7)translate(-501.5, 0)translate(0,0)scale(1)	translate(1003,497)scale(-1, 1)scale(0.7,0.7)translate(-501.5, 0)translate(0,0)scale(1)
5	1487095048172	translate(1003,497)scale(1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(0,0)scale(1)	translate(1003,497)scale(-1, 1)scale(0.6,0.6)translate(-501.5, 0)translate(0,0)scale(1)
6	1487095054248	translate(501.5,497)scale(1,1)translate(0,0)scale(1)	translate(1504.5,497)scale(1,1)translate(0,0)scale(1)
6	1487095057000	translate(501.5,497)scale(1,1)translate(-3,0)scale(1)	translate(1504.5,497)scale(1,1)translate(-3,0)scale(1)
6	1487095057032	translate(501.5,497)scale(1,1)translate(-9,-2)scale(1)	translate(1504.5,497)scale(1,1)translate(-9,-2)scale(1)
6	1487095057042	translate(501.5,497)scale(1,1)translate(-15,-2)scale(1)	translate(1504.5,497)scale(1,1)translate(-15,-2)scale(1)
6	1487095057077	translate(501.5,497)scale(1,1)translate(-36,-3)scale(1)	translate(1504.5,497)scale(1,1)translate(-36,-3)scale(1)
6	1487095057094	translate(501.5,497)scale(1,1)translate(-66,1)scale(1)	translate(1504.5,497)scale(1,1)translate(-66,1)scale(1)
6	1487095057126	translate(501.5,497)scale(1,1)translate(-104,1)scale(1)	translate(1504.5,497)scale(1,1)translate(-104,1)scale(1)
6	1487095057155	translate(501.5,497)scale(1,1)translate(-132,9)scale(1)	translate(1504.5,497)scale(1,1)translate(-132,9)scale(1)
6	1487095057167	translate(501.5,497)scale(1,1)translate(-147,13)scale(1)	translate(1504.5,497)scale(1,1)translate(-147,13)scale(1)
6	1487095057202	translate(501.5,497)scale(1,1)translate(-177,21)scale(1)	translate(1504.5,497)scale(1,1)translate(-177,21)scale(1)
6	1487095057214	translate(501.5,497)scale(1,1)translate(-195,22)scale(1)	translate(1504.5,497)scale(1,1)translate(-195,22)scale(1)
6	1487095057245	translate(501.5,497)scale(1,1)translate(-222,25)scale(1)	translate(1504.5,497)scale(1,1)translate(-222,25)scale(1)
6	1487095057277	translate(501.5,497)scale(1,1)translate(-233,28)scale(1)	translate(1504.5,497)scale(1,1)translate(-233,28)scale(1)
6	1487095057291	translate(501.5,497)scale(1,1)translate(-234,28)scale(1)	translate(1504.5,497)scale(1,1)translate(-234,28)scale(1)
6	1487095057320	translate(501.5,497)scale(1,1)translate(-237,28)scale(1)	translate(1504.5,497)scale(1,1)translate(-237,28)scale(1)
6	1487095057333	translate(501.5,497)scale(1,1)translate(-242,28)scale(1)	translate(1504.5,497)scale(1,1)translate(-242,28)scale(1)
6	1487095057363	translate(501.5,497)scale(1,1)translate(-243,28)scale(1)	translate(1504.5,497)scale(1,1)translate(-243,28)scale(1)
7	1487095070728	translate(501.5,497)scale(0.7,0.7)translate(0,0)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(0,0)scale(1)
7	1487095071636	translate(501.5,497)scale(0.7,0.7)translate(0,0)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(0,0)scale(1)
7	1487095071671	translate(501.5,497)scale(0.7,0.7)translate(-15,-2)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-15,-2)scale(1)
7	1487095071685	translate(501.5,497)scale(0.7,0.7)translate(-38,-3)scale(1)	translate(1504.5,497)scale(0.7,0.7)translate(-38,-3)scale(1)
