13px	18px	2005.99px	993.996px	2052	1210
0	1487019111976	translate(1003,497)scale(1,1)translate(0,0)scale(1)
6	1487019206844	translate(500.5,497)scale(1,1)translate(-202,-50)scale(1)	translate(1501.5,497)scale(1,1)translate(-202,-50)scale(1)
6	1487019206871	translate(500.5,497)scale(1,1)translate(-210,-51)scale(1)	translate(1501.5,497)scale(1,1)translate(-210,-51)scale(1)
6	1487019206877	translate(500.5,497)scale(1,1)translate(-211,-51)scale(1)	translate(1501.5,497)scale(1,1)translate(-211,-51)scale(1)
6	1487019206904	translate(500.5,497)scale(1,1)translate(-214,-51)scale(1)	translate(1501.5,497)scale(1,1)translate(-214,-51)scale(1)
6	1487019206908	translate(500.5,497)scale(1,1)translate(-216,-53)scale(1)	translate(1501.5,497)scale(1,1)translate(-216,-53)scale(1)
6	1487019206934	translate(500.5,497)scale(1,1)translate(-219,-53)scale(1)	translate(1501.5,497)scale(1,1)translate(-219,-53)scale(1)
6	1487019206939	translate(500.5,497)scale(1,1)translate(-219,-53)scale(1)	translate(1501.5,497)scale(1,1)translate(-219,-53)scale(1)
6	1487019206944	translate(500.5,497)scale(1,1)translate(-220,-53)scale(1)	translate(1501.5,497)scale(1,1)translate(-220,-53)scale(1)
7	1487019210819	translate(500.5,497)scale(0.7,0.7)translate(0,0)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(0,0)scale(1)
7	1487019211895	translate(500.5,497)scale(0.7,0.7)translate(-3,3)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-3,3)scale(1)
7	1487019211947	translate(500.5,497)scale(0.7,0.7)translate(-27,29)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-27,29)scale(1)
7	1487019211953	translate(500.5,497)scale(0.7,0.7)translate(-30,32)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-30,32)scale(1)
7	1487019211961	translate(500.5,497)scale(0.7,0.7)translate(-36,36)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-36,36)scale(1)
7	1487019211998	translate(500.5,497)scale(0.7,0.7)translate(-43,44)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-43,44)scale(1)
7	1487019212037	translate(500.5,497)scale(0.7,0.7)translate(-48,51)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-48,51)scale(1)
7	1487019212043	translate(500.5,497)scale(0.7,0.7)translate(-51,53)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-51,53)scale(1)
7	1487019212083	translate(500.5,497)scale(0.7,0.7)translate(-61,66)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-61,66)scale(1)
7	1487019212090	translate(500.5,497)scale(0.7,0.7)translate(-66,71)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-66,71)scale(1)
7	1487019212097	translate(500.5,497)scale(0.7,0.7)translate(-69,74)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-69,74)scale(1)
7	1487019212133	translate(500.5,497)scale(0.7,0.7)translate(-81,87)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-81,87)scale(1)
7	1487019212140	translate(500.5,497)scale(0.7,0.7)translate(-84,90)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-84,90)scale(1)
7	1487019212175	translate(500.5,497)scale(0.7,0.7)translate(-88,98)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-88,98)scale(1)
7	1487019212211	translate(500.5,497)scale(0.7,0.7)translate(-103,104)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-103,104)scale(1)
7	1487019212249	translate(500.5,497)scale(0.7,0.7)translate(-114,111)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-114,111)scale(1)
7	1487019212255	translate(500.5,497)scale(0.7,0.7)translate(-117,114)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-117,114)scale(1)
7	1487019212260	translate(500.5,497)scale(0.7,0.7)translate(-117,114)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-117,114)scale(1)
7	1487019212295	translate(500.5,497)scale(0.7,0.7)translate(-129,122)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-129,122)scale(1)
7	1487019212331	translate(500.5,497)scale(0.7,0.7)translate(-133,125)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-133,125)scale(1)
7	1487019212337	translate(500.5,497)scale(0.7,0.7)translate(-135,125)scale(1)	translate(1501.5,497)scale(0.7,0.7)translate(-135,125)scale(1)
8	1487019217459	translate(500.5,497)scale(0.6,0.6)translate(0,0)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(0,0)scale(1)
8	1487019219968	translate(500.5,497)scale(0.6,0.6)translate(-1,0)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-1,0)scale(1)
8	1487019220050	translate(500.5,497)scale(0.6,0.6)translate(-7,0)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-7,0)scale(1)
8	1487019220065	translate(500.5,497)scale(0.6,0.6)translate(-9,2)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-9,2)scale(1)
8	1487019220134	translate(500.5,497)scale(0.6,0.6)translate(-13,2)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-13,2)scale(1)
8	1487019220206	translate(500.5,497)scale(0.6,0.6)translate(-15,3)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-15,3)scale(1)
8	1487019220278	translate(500.5,497)scale(0.6,0.6)translate(-16,3)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-16,3)scale(1)
8	1487019220348	translate(500.5,497)scale(0.6,0.6)translate(-16,3)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-16,3)scale(1)
8	1487019220413	translate(500.5,497)scale(0.6,0.6)translate(-18,3)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-18,3)scale(1)
8	1487019220517	translate(500.5,497)scale(0.6,0.6)translate(-19,3)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-19,3)scale(1)
8	1487019220576	translate(500.5,497)scale(0.6,0.6)translate(-33,-3)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-33,-3)scale(1)
8	1487019220648	translate(500.5,497)scale(0.6,0.6)translate(-39,-7)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-39,-7)scale(1)
8	1487019220662	translate(500.5,497)scale(0.6,0.6)translate(-40,-7)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-40,-7)scale(1)
8	1487019220733	translate(500.5,497)scale(0.6,0.6)translate(-42,-12)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-42,-12)scale(1)
8	1487019220746	translate(500.5,497)scale(0.6,0.6)translate(-42,-13)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-42,-13)scale(1)
8	1487019220814	translate(500.5,497)scale(0.6,0.6)translate(-46,-19)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-46,-19)scale(1)
8	1487019220830	translate(500.5,497)scale(0.6,0.6)translate(-46,-21)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-46,-21)scale(1)
8	1487019220894	translate(500.5,497)scale(0.6,0.6)translate(-54,-30)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-54,-30)scale(1)
8	1487019220967	translate(500.5,497)scale(0.6,0.6)translate(-60,-37)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-60,-37)scale(1)
8	1487019220982	translate(500.5,497)scale(0.6,0.6)translate(-60,-37)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-60,-37)scale(1)
8	1487019221052	translate(500.5,497)scale(0.6,0.6)translate(-63,-40)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-63,-40)scale(1)
8	1487019221065	translate(500.5,497)scale(0.6,0.6)translate(-63,-42)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-63,-42)scale(1)
8	1487019221133	translate(500.5,497)scale(0.6,0.6)translate(-67,-45)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-67,-45)scale(1)
8	1487019221147	translate(500.5,497)scale(0.6,0.6)translate(-67,-46)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-67,-46)scale(1)
8	1487019221220	translate(500.5,497)scale(0.6,0.6)translate(-73,-52)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-73,-52)scale(1)
8	1487019221237	translate(500.5,497)scale(0.6,0.6)translate(-76,-54)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-76,-54)scale(1)
8	1487019221302	translate(500.5,497)scale(0.6,0.6)translate(-84,-57)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-84,-57)scale(1)
8	1487019221315	translate(500.5,497)scale(0.6,0.6)translate(-85,-58)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-85,-58)scale(1)
8	1487019221386	translate(500.5,497)scale(0.6,0.6)translate(-88,-60)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-88,-60)scale(1)
8	1487019221461	translate(500.5,497)scale(0.6,0.6)translate(-94,-61)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-94,-61)scale(1)
8	1487019221532	translate(500.5,497)scale(0.6,0.6)translate(-100,-63)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-100,-63)scale(1)
8	1487019221549	translate(500.5,497)scale(0.6,0.6)translate(-100,-63)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-100,-63)scale(1)
8	1487019221613	translate(500.5,497)scale(0.6,0.6)translate(-111,-69)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-111,-69)scale(1)
8	1487019221628	translate(500.5,497)scale(0.6,0.6)translate(-111,-70)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-111,-70)scale(1)
8	1487019221698	translate(500.5,497)scale(0.6,0.6)translate(-118,-76)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-118,-76)scale(1)
8	1487019221713	translate(500.5,497)scale(0.6,0.6)translate(-120,-76)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-120,-76)scale(1)
8	1487019221780	translate(500.5,497)scale(0.6,0.6)translate(-126,-78)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-126,-78)scale(1)
8	1487019221796	translate(500.5,497)scale(0.6,0.6)translate(-127,-78)scale(1)	translate(1501.5,497)scale(0.6,0.6)translate(-127,-78)scale(1)
9	1487019231756	translate(1001,497)scale(1,1)translate(0,0)scale(1)
